sentence,full_audio_path,no_tone
Àwọn ọkùnrin ilé ni wọ́n ń lọ sí ọkọ lóòótọ́.,/content/drive/MyDrive/clips/common_voice_yo_36884932.mp3,Awon okunrin ile ni won n lo si oko loooto.
Báwo ni o ṣe lè mọ̀ pé o ní ààrùn jẹjẹrẹ?,/content/drive/MyDrive/clips/common_voice_yo_36884933.mp3,Bawo ni o se le mo pe o ni aarun jejere?
Bọ́lá ní Tinú ló sọ Bọ̀dé di èèyàn lágbo òsèlú.,/content/drive/MyDrive/clips/common_voice_yo_36884934.mp3,Bola ni Tinu lo so Bode di eeyan lagbo oselu.
Rẹ̀mi ní àfojúsùn òun ni láti ní abúlé mẹkáníkì láìpẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36884935.mp3,Remi ni afojusun oun ni lati ni abule mekaniki laipe.
Wọ́n tún ti yọ òkú èèyàn méjì jáde nínú ilé tó wó lulẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36884937.mp3,Won tun ti yo oku eeyan meji jade ninu ile to wo lule
Yánpọnyánrin ń fẹjú síi ní orílẹ̀ èdè wa bí a ṣe ń gbọ́.,/content/drive/MyDrive/clips/common_voice_yo_36884938.mp3,Yanponyanrin n feju sii ni orile ede wa bi a se n gbo.
Ìjọba ìpínlẹ̀ Èkó sọ̀rọ̀ lórí ẹni tó ni ilé alájá kan.,/content/drive/MyDrive/clips/common_voice_yo_36884939.mp3,Ijoba ipinle Eko soro lori eni to ni ile alaja kan.
Ẹsẹ̀ bàtà àti èso kùkúḿbà ni wọ́n fi ń já ìbálé àwọn ọmọge.,/content/drive/MyDrive/clips/common_voice_yo_36884940.mp3,Ese bata ati eso kukumba ni won fi n ja ibale awon omoge.
Àwọn Yorùbá fẹ́ pín kúrò lára Nàìjíríà.,/content/drive/MyDrive/clips/common_voice_yo_36884941.mp3,Awon Yoruba fe pin kuro lara Naijiria.
Olúwo sọ ìtàn bí Ọ̀rúnmìlà ṣe jìyà nílùú.,/content/drive/MyDrive/clips/common_voice_yo_36884942.mp3,Oluwo so itan bi Orunmila se jiya niluu.
Ilé ńlá àràmàndà ni wọ́n wó tí wọ́n sọọ́ di ọgbà ẹ̀wọ́n.,/content/drive/MyDrive/clips/common_voice_yo_36884943.mp3,Ile nla aramanda ni won wo ti won soo di ogba ewon.
Ó dára kí Orílẹ̀èdè Naijiria wa ní ìṣọ̀kan.,/content/drive/MyDrive/clips/common_voice_yo_36855126.mp3,O dara ki Orileede Naijiria wa ni isokan.
Ẹ di etí yín sí àwọn tó fẹ́ tajà ìròyìn lórí ayélujára.,/content/drive/MyDrive/clips/common_voice_yo_36855127.mp3,E di eti yin si awon to fe taja iroyin lori ayelujara.
A ṣì lè jèbùrẹ́ lórí ọ̀rọ̀ Ìgbòho tí wọ́n bá kàn sí wa.,/content/drive/MyDrive/clips/common_voice_yo_36855128.mp3,A si le jebure lori oro Igboho ti won ba kan si wa.
Ìdìbò abẹ́lé tó ń lọ lọ́wọ́ ni a ó fi mọ gómìnà tuntun.,/content/drive/MyDrive/clips/common_voice_yo_36855129.mp3,Idibo abele to n lo lowo ni a o fi mo gomina tuntun.
Adé àti ìyàwó rẹ̀ náà lọ sí ibi ìkómọ Fọláṣadé.,/content/drive/MyDrive/clips/common_voice_yo_36855150.mp3,Ade ati iyawo re naa lo si ibi ikomo Folasade.
Ìjọba kò fún wa ní ìsimi ní orilẹ-èdè yìí.,/content/drive/MyDrive/clips/common_voice_yo_36855151.mp3,Ijoba ko fun wa ni isimi ni orile-ede yii.
Ilé-iṣẹ́ ìkówópamó kan ti ṣèlérí ààbò fún àwon oníbàárà wọn.,/content/drive/MyDrive/clips/common_voice_yo_36855152.mp3,Ile-ise ikowopamo kan ti seleri aabo fun awon onibaara won.
Ìgbéraga ni ń ṣíwájú ìparun.,/content/drive/MyDrive/clips/common_voice_yo_36855156.mp3,Igberaga ni n siwaju iparun.
Ìjọba ìbílẹ̀ mẹ́ta yìí ní yóò sọ ẹni tí yóò jáwé olúbori.,/content/drive/MyDrive/clips/common_voice_yo_36855159.mp3,Ijoba ibile meta yii ni yoo so eni ti yoo jawe olubori.
Májèlé ní àwọn obìnrin tí ó maa ń ti ọmọ sí ọkùnrin lọ́rùn jẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36885983.mp3,Majele ni awon obinrin ti o maa n ti omo si okunrin lorun je.
Odùduwà sọ pé Fẹ́mi Fálànà ní ọ̀nà láti pọ́n àwọn ará ìlú lé,/content/drive/MyDrive/clips/common_voice_yo_36885984.mp3,Oduduwa so pe Femi Falana ni ona lati pon awon ara ilu le
Ní ìlú Ìbàdàn ni awọn ẹgbẹ́ ogùnolóró ti má ń ṣe ìpàdé.,/content/drive/MyDrive/clips/common_voice_yo_36885985.mp3,Ni ilu Ibadan ni awon egbe ogunoloro ti ma n se ipade.
Ẹgbẹ́ wa fún iléeṣẹ́ wọn ní ọjọ́ kan láti dá owó náà padà.,/content/drive/MyDrive/clips/common_voice_yo_36886033.mp3,Egbe wa fun ileese won ni ojo kan lati da owo naa pada.
Gàní ní kò dín ní bílíọ̀nù mẹ́ta tí àwọn ọmọ ilẹ̀ Yorùbá ti san,/content/drive/MyDrive/clips/common_voice_yo_36886043.mp3,Gani ni ko din ni bilionu meta ti awon omo ile Yoruba ti san
Ànọ́bì kò ṣe àjọ̀dún nígbà àyé rẹ̀ àmọ́ kò sí ẹ̀sẹ̀ níbẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36886044.mp3,Anobi ko se ajodun nigba aye re amo ko si ese nibe.
Ìyábọ̀ Òjó yóò jíròrò pẹ̀lú ẹgbẹ́ òṣìṣẹ́ tíátà lẹ́ẹ̀kansíi,/content/drive/MyDrive/clips/common_voice_yo_36886045.mp3,Iyabo Ojo yoo jiroro pelu egbe osise tiata leekansii
Ọmọ ọba Adédọja ni ó gba àmì ẹ̀yẹ arẹwà obìnrin ní Ọ̀yọ́.,/content/drive/MyDrive/clips/common_voice_yo_36886081.mp3,Omo oba Adedoja ni o gba ami eye arewa obinrin ni Oyo.
Àwọn aṣewádìí ti fi èsì ìwádìí wọn tó ìjọba létí láti tọrọ ìrànwọ́.,/content/drive/MyDrive/clips/common_voice_yo_36886082.mp3,Awon asewadii ti fi esi iwadii won to ijoba leti lati toro iranwo.
Ìfẹ́dayọ̀ Ọlárìndé ní òun yóò fi ìfẹ́ hàn lásìkò ààwẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36886084.mp3,Ifedayo Olarinde ni oun yoo fi ife han lasiko aawe
Kò yẹ kí gbogbo oun tí mo bá ẹ sọ tún jáde síta,/content/drive/MyDrive/clips/common_voice_yo_36886086.mp3,Ko ye ki gbogbo oun ti mo ba e so tun jade sita
Ìbànújẹ́ ó tóbi tàbí kéré ò ní jẹ́ ti tí wa.,/content/drive/MyDrive/clips/common_voice_yo_36886087.mp3,Ibanuje o tobi tabi kere o ni je ti ti wa.
Ọmọ odó làwọn agbébọn fi fọ́ ìlẹ̀kùn wọlé.,/content/drive/MyDrive/clips/common_voice_yo_36886088.mp3,Omo odo lawon agbebon fi fo ilekun wole.
Ìyábọ̀ fèsì fún Adébáyọ̀ nípa ọ̀rọ̀ rírùn tí gbogbo wọn ń sọ,/content/drive/MyDrive/clips/common_voice_yo_36886089.mp3,Iyabo fesi fun Adebayo nipa oro rirun ti gbogbo won n so
Kò pé tí bàbá yín lọ ìlú òyìnbó ni ó mú ìyá yín sọ́dọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36886091.mp3,Ko pe ti baba yin lo ilu oyinbo ni o mu iya yin sodo.
Ọ̀gá ọlọ́pàá pàṣẹ pé kí Kọmísọ́nnà Ọ̀yọ́ mú Ìgbòho.,/content/drive/MyDrive/clips/common_voice_yo_36886095.mp3,Oga olopaa pase pe ki Komisonna Oyo mu Igboho.
"Àṣeyọrí ti jẹ́ tèmi nínú ìlú tí mo ṣẹ̀ṣẹ̀ dé sí, àmín.",/content/drive/MyDrive/clips/common_voice_yo_36886096.mp3,"Aseyori ti je temi ninu ilu ti mo sese de si, amin."
Fáyẹmí ní kí ìjọba má báwọn jàndùkù ajínigbé sọ̀rọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36886097.mp3,Fayemi ni ki ijoba ma bawon janduku ajinigbe soro.
Kòsí ìtọ́jú kan kan tí wón fún Àlàó ní ilé ìwòsàn náà.,/content/drive/MyDrive/clips/common_voice_yo_36886098.mp3,Kosi itoju kan kan ti won fun Alao ni ile iwosan naa.
Ọ̀gá àgbà dín wákàtí iṣẹ́ ọlọ́pàá kù nítorí wàhálà tó ń lọ ní ìgboro.,/content/drive/MyDrive/clips/common_voice_yo_36886099.mp3,Oga agba din wakati ise olopaa ku nitori wahala to n lo ni igboro.
Ojú ti àwọn ọ̀daràn náà ní ilé ẹjọ́ nígbàtí àṣírí tú.,/content/drive/MyDrive/clips/common_voice_yo_36886106.mp3,Oju ti awon odaran naa ni ile ejo nigbati asiri tu.
Aàrẹ ìlú Àgànyìn ti di aàrẹ ẹgbẹ́ ìṣọ̀kan ilẹ̀ adúláwọ̀ tuntun.,/content/drive/MyDrive/clips/common_voice_yo_36886107.mp3,Aare ilu Aganyin ti di aare egbe isokan ile adulawo tuntun.
Ìjọba ní kọ́ bí Sẹ́nétọ̀ Abíọ́lá nípa ètò ìṣúná owó Nàìjíríà.,/content/drive/MyDrive/clips/common_voice_yo_36886108.mp3,Ijoba ni ko bi Seneto Abiola nipa eto isuna owo Naijiria.
Gbogbo dúkìá Gómìnà àná náà ló jẹ́ wúrà.,/content/drive/MyDrive/clips/common_voice_yo_36886109.mp3,Gbogbo dukia Gomina ana naa lo je wura.
Yọmí Àlíyù ní àwọn ti parí ìlànà tó yẹ́ fún ìgbélárugẹ àṣà àti èdè,/content/drive/MyDrive/clips/common_voice_yo_36886110.mp3,Yomi Aliyu ni awon ti pari ilana to ye fun igbelaruge asa ati ede
Ij̀ọba ìpínlẹ Ọ̀yọ́ ti pe àwọn ọmọ ẹgbẹ́ tó lọ ìpàdé.,/content/drive/MyDrive/clips/common_voice_yo_36841367.mp3,Ijoba ipinle Oyo ti pe awon omo egbe to lo ipade.
Ààrẹ Ògbóni ní kò tọ́ fún Gàní láti máa bú àwọn Ògbóni.,/content/drive/MyDrive/clips/common_voice_yo_36841370.mp3,Aare Ogboni ni ko to fun Gani lati maa bu awon Ogboni.
Ọdún faraya lórí àwọn tó ń pè fún pínpín ipò ààrẹ,/content/drive/MyDrive/clips/common_voice_yo_36841472.mp3,Odun faraya lori awon to n pe fun pinpin ipo aare
Adémọ́lá ní ìyàwó mẹ́sàn-án lòun fẹ́ fẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36861851.mp3,Ademola ni iyawo mesan-an loun fe fe.
Wọ́n ti ìparí ètò láti darapọ̀ mọ́ ẹgbẹ́ òṣèlú onígbàálẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36861852.mp3,Won ti ipari eto lati darapo mo egbe oselu onigbaale.
Wo ohun tó yẹ ko mọ̀ nípa àrùn aṣekúpani tuntun lágbàáyé.,/content/drive/MyDrive/clips/common_voice_yo_36861853.mp3,Wo ohun to ye ko mo nipa arun asekupani tuntun lagbaaye.
Èèyaǹ púpọ̀ ló ṣọ ṣẹ̀ṣẹ̀ kó àrùn ní Nàìjíríà.,/content/drive/MyDrive/clips/common_voice_yo_36861855.mp3,Eeyan pupo lo so sese ko arun ni Naijiria.
Mo rán wọn láti lọ lé àwọn ọ̀daràn kúrò nínú igbó,/content/drive/MyDrive/clips/common_voice_yo_36902231.mp3,Mo ran won lati lo le awon odaran kuro ninu igbo
Kò yẹ kí àwọn ọmọ yìí máa bínú sí àwọn òbí wọn.,/content/drive/MyDrive/clips/common_voice_yo_36902233.mp3,Ko ye ki awon omo yii maa binu si awon obi won.
Ìfẹ́dayò tó ń jẹ́ Bàbá ọ̀dọ́ tọrọ àforíjì lori ọ̀rọ̀ ẹ̀gbin tó sọ.,/content/drive/MyDrive/clips/common_voice_yo_36902238.mp3,Ifedayo to n je Baba odo toro aforiji lori oro egbin to so.
Ìrẹsì lè di májèlé ní àgọ́ ara ènìyàn.,/content/drive/MyDrive/clips/common_voice_yo_36902239.mp3,Iresi le di majele ni ago ara eniyan.
Ọ̀gbẹ́ni Ṣínà dúpẹ́ lọ́wọ́ àwọn abiyamọ ayé.,/content/drive/MyDrive/clips/common_voice_yo_36902258.mp3,Ogbeni Sina dupe lowo awon abiyamo aye.
Ọsàn mẹ́ta ti so lórí igi náà kí á tó ge.,/content/drive/MyDrive/clips/common_voice_yo_36902260.mp3,Osan meta ti so lori igi naa ki a to ge.
Ìrònú àwọn ọ̀dọ́bìnrin ìsẹ̀yín ò ju owó àti oge lọ.,/content/drive/MyDrive/clips/common_voice_yo_36902268.mp3,Ironu awon odobinrin iseyin o ju owo ati oge lo.
Iléẹjọ́ tó gá jùlọ ní Nàíjíríà ti wó lulẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36902269.mp3,Ileejo to ga julo ni Naijiria ti wo lule.
Igbákejì Gómìnà Ọ̀yọ́ ní kò síjà láàrin òun àti Gómìnà.,/content/drive/MyDrive/clips/common_voice_yo_36902270.mp3,Igbakeji Gomina Oyo ni ko sija laarin oun ati Gomina.
Ọwọ́ ọlọ́pàá ti tẹ Adímú tí ó lọ pa Dáramọ́lá ẹni ogún ọdún.,/content/drive/MyDrive/clips/common_voice_yo_36902271.mp3,Owo olopaa ti te Adimu ti o lo pa Daramola eni ogun odun.
"Oníṣòwò ni mí nílùú Ìbàdàn, Èkó àti Ègbé.",/content/drive/MyDrive/clips/common_voice_yo_36902293.mp3,"Onisowo ni mi niluu Ibadan, Eko ati Egbe."
Ìwọ nìkan ni ẹni tí mo fẹ́ràn jù láti ràn mí lọ́wọ́.,/content/drive/MyDrive/clips/common_voice_yo_36902295.mp3,Iwo nikan ni eni ti mo feran ju lati ran mi lowo.
Àrẹ̀mú ti tẹ kọ̀ létí lọ sí òkè òkun.,/content/drive/MyDrive/clips/common_voice_yo_36902296.mp3,Aremu ti te ko leti lo si oke okun.
"Tí gbogbo ẹbí sì ni ẹ̀gbin yí á jẹ́, ọmọ wọn ṣáà ni.",/content/drive/MyDrive/clips/common_voice_yo_36902297.mp3,"Ti gbogbo ebi si ni egbin yi a je, omo won saa ni."
Ṣóyinká ní kò le jókòó síle ìjọba láti dojú Adigunjalè bolẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36908861.mp3,Soyinka ni ko le jokoo sile ijoba lati doju Adigunjale bole.
Gómìnà wa ti pè fún alàáfíà láàrin àwọn ọmọ ẹgbẹ́.,/content/drive/MyDrive/clips/common_voice_yo_36908862.mp3,Gomina wa ti pe fun alaafia laarin awon omo egbe.
Ètò ọrọ̀ ajé ni àgbáyé ti wá di ohun tó nílò àmójútó gidi ni.,/content/drive/MyDrive/clips/common_voice_yo_36908864.mp3,Eto oro aje ni agbaye ti wa di ohun to nilo amojuto gidi ni.
Adigunjalẹ̀ kolu sójà ní Òndó.,/content/drive/MyDrive/clips/common_voice_yo_36908865.mp3,Adigunjale kolu soja ni Ondo.
Ọ̀gágunfẹ̀yìntì gúnlẹ̀ sí Nàíjíríà láti rí Ààrẹ.,/content/drive/MyDrive/clips/common_voice_yo_36908866.mp3,Ogagunfeyinti gunle si Naijiria lati ri Aare.
Nàìjíríà ni Àjídé fẹ́ bímọ sí ṣùgbọ́n wọ́n há sí ilẹ̀ òkèrè.,/content/drive/MyDrive/clips/common_voice_yo_36908867.mp3,Naijiria ni Ajide fe bimo si sugbon won ha si ile okere.
Ojú gbà mí tì fún awọn ọmọ Yorùbá tí kò lè sọ èdè wọn.,/content/drive/MyDrive/clips/common_voice_yo_36908868.mp3,Oju gba mi ti fun awon omo Yoruba ti ko le so ede won.
Ẹ wo ọmọ Yorùbá tó kọ́kọ́ jà fún ẹ̀tọ́ àwọn aláwọ̀dúdú.,/content/drive/MyDrive/clips/common_voice_yo_36908869.mp3,E wo omo Yoruba to koko ja fun eto awon alawodudu.
Ọ̀pọ̀lọ́ ríbi tó tutù ba sí ni ọ̀rọ̀ àwọn obìnrin.,/content/drive/MyDrive/clips/common_voice_yo_36908870.mp3,Opolo ribi to tutu ba si ni oro awon obinrin.
Tàfá ni ó máa jẹ́ olórí àwọn jàǹdùkú nílùú Abẹ́òkúta tí ó bá yá.,/content/drive/MyDrive/clips/common_voice_yo_36908873.mp3,Tafa ni o maa je olori awon janduku niluu Abeokuta ti o ba ya.
Èmi kọ́ lẹni tó n gbé àwọ̀ Fẹ́mi Adéṣínà wọ̀,/content/drive/MyDrive/clips/common_voice_yo_36908874.mp3,Emi ko leni to n gbe awo Femi Adesina wo
Túndé fẹ́ dá ìdíje tuntun kan sílẹ̀ fún àwọn ará àdúgbò.,/content/drive/MyDrive/clips/common_voice_yo_36908875.mp3,Tunde fe da idije tuntun kan sile fun awon ara adugbo.
Ààrẹ Nàíjíríà ti yíwà padà sí rere.,/content/drive/MyDrive/clips/common_voice_yo_36908891.mp3,Aare Naijiria ti yiwa pada si rere.
Ọwọ́ ìjọba ìpínlẹ̀ Ọ̀yọ́ tẹ àwọn mẹ́jọ kan tó lòdì sófin.,/content/drive/MyDrive/clips/common_voice_yo_36908892.mp3,Owo ijoba ipinle Oyo te awon mejo kan to lodi sofin.
Àwọn aṣòfin ti kéde ìdí tí ọkùnrin kan fi lu ará rẹ ní gbànjo,/content/drive/MyDrive/clips/common_voice_yo_36908893.mp3,Awon asofin ti kede idi ti okunrin kan fi lu ara re ni gbanjo
Ilé iṣẹ́ ìròyìn kan ní Ìbàdàn ni wọ́n ń pà ní Gbohùngbohùn,/content/drive/MyDrive/clips/common_voice_yo_36908894.mp3,Ile ise iroyin kan ni Ibadan ni won n pa ni Gbohungbohun
Bùhárí àti àwọn ọ̀rẹ́ ẹ̀ ti jí gbogbo owó ìlú tán.,/content/drive/MyDrive/clips/common_voice_yo_36908895.mp3,Buhari ati awon ore e ti ji gbogbo owo ilu tan.
Àwọn ẹgbẹ́ òṣèlú kan pinnu láti yọ olórí wọn.,/content/drive/MyDrive/clips/common_voice_yo_36887531.mp3,Awon egbe oselu kan pinnu lati yo olori won.
Arákùnrin kan sọ ìdí tí òun fi fi ipá bá ọmọ ọdún méje lòpọ̀.,/content/drive/MyDrive/clips/common_voice_yo_36887532.mp3,Arakunrin kan so idi ti oun fi fi ipa ba omo odun meje lopo.
Ebi ló máa kọ́ wèrè Akíntúndé lọ́gbọ́n kó tó lọ ilé ẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36887533.mp3,Ebi lo maa ko were Akintunde logbon ko to lo ile e
Ìyá ìyàwó gómìnà ìpínlẹ̀ Ọ̀yọ́ tẹ́lẹ̀rí jáde láyé.,/content/drive/MyDrive/clips/common_voice_yo_36887534.mp3,Iya iyawo gomina ipinle Oyo teleri jade laye.
Màmá tó bí ìyá Ọọ̀ni ilé Ifẹ̀ fi ile aye sílẹ̀ lánàá.,/content/drive/MyDrive/clips/common_voice_yo_36887535.mp3,Mama to bi iya Ooni ile Ife fi ile aye sile lanaa.
"Àwọn agbébọn mẹ́ta ni àwọn akẹ́kọ̀ọ́ gbámú, wọ́n sì lù wọ́n",/content/drive/MyDrive/clips/common_voice_yo_36887536.mp3,"Awon agbebon meta ni awon akekoo gbamu, won si lu won"
Àwọn ǹkan tí aláṣẹ ilé ẹ̀kọ́ lè ṣé rèé láti fí dẹkùn ìṣẹlẹ akẹ́kọ̀ọ́.,/content/drive/MyDrive/clips/common_voice_yo_36887537.mp3,Awon nkan ti alase ile eko le se ree lati fi dekun isele akekoo.
Ènìyàn mẹ́jọ jónà ráúráú nínú ìjàmbá ọkọ̀ ní Ọ̀yọ́.,/content/drive/MyDrive/clips/common_voice_yo_36887538.mp3,Eniyan mejo jona raurau ninu ijamba oko ni Oyo.
Ọwọ́ tẹ Fúlàní méjì ṣùgbọ́n wọn na pápá bora.,/content/drive/MyDrive/clips/common_voice_yo_36887539.mp3,Owo te Fulani meji sugbon won na papa bora.
Ìjìyà ti wà fún ilé ìfowópamọ́ tó bá ṣí ní àyájọ́ ọjọ́ òmìnira.,/content/drive/MyDrive/clips/common_voice_yo_36889462.mp3,Ijiya ti wa fun ile ifowopamo to ba si ni ayajo ojo ominira.
Ọkùnrin kan fi sísọ́ọ̀sì gún aya rẹ̀ pa.,/content/drive/MyDrive/clips/common_voice_yo_36889463.mp3,Okunrin kan fi sisoosi gun aya re pa.
Ẹgbẹ́ ọmọ Odùduwà yóò ṣe ìwọ́de lásìkọ̀ ìtúnu ààwẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36889464.mp3,Egbe omo Oduduwa yoo se iwode lasiko itunu aawe
Tẹ́ní Ọwọ́ ṣàlàyé ìdí tó fí padà yọ àwòrán Òrìṣàbùnmi.,/content/drive/MyDrive/clips/common_voice_yo_36889465.mp3,Teni Owo salaye idi to fi pada yo aworan Orisabunmi.
Àmọ̀tẹ́kùn Òndó mú àwọn afurasí tó já wọ oko olóko.,/content/drive/MyDrive/clips/common_voice_yo_36908327.mp3,Amotekun Ondo mu awon afurasi to ja wo oko oloko.
Aráàlú fa ìbínú yọ lórí ọ̀rọ̀ tí ààrẹ sọ níbi àyẹyẹ òmìnira.,/content/drive/MyDrive/clips/common_voice_yo_36908328.mp3,Araalu fa ibinu yo lori oro ti aare so nibi ayeye ominira.
Kí ló dé tí ajá fi ń jùrù lójú oorun?,/content/drive/MyDrive/clips/common_voice_yo_36908330.mp3,Ki lo de ti aja fi n juru loju oorun?
Ìpílẹ̀ Èkó ti fi òfin ìgbésẹ̀ oyún ṣíṣẹ́ sílẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36908331.mp3,Ipile Eko ti fi ofin igbese oyun sise sile.
Dayọ̀ ní Ọlá fi ìfẹ́ hàn lásìkò táwọn ìjọ Ọlọ́run gbógun tì òun.,/content/drive/MyDrive/clips/common_voice_yo_36908547.mp3,Dayo ni Ola fi ife han lasiko tawon ijo Olorun gbogun ti oun.
Mo ti jáde nilé Bájọwà nítorípé ẹ̀fọn ń jẹ mí púpọ̀ níbẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36908549.mp3,Mo ti jade nile Bajowa nitoripe efon n je mi pupo nibe.
Ó dára kí àwọn àfẹ̀sọ́nà ṣe àyẹ̀wò ẹje kí wọn tó fẹ́ra wọn.,/content/drive/MyDrive/clips/common_voice_yo_36908554.mp3,O dara ki awon afesona se ayewo eje ki won to fera won.
Ẹgbẹ́ àwọn awakọ̀ àti ẹgbẹ́ òǹtàjà epo aládani ti wọ́gilé ìyanṣẹlódì wọn,/content/drive/MyDrive/clips/common_voice_yo_36908586.mp3,Egbe awon awako ati egbe ontaja epo aladani ti wogile iyanselodi won
Àwọn olórí àwọn òṣìṣẹ́ fún ààrẹ Nàìjíríà ti sálọ.,/content/drive/MyDrive/clips/common_voice_yo_36908587.mp3,Awon olori awon osise fun aare Naijiria ti salo.
Ajínigbé ti pa èèyàn mẹ́wàá láàrìn oṣù mẹ́ta.,/content/drive/MyDrive/clips/common_voice_yo_36913813.mp3,Ajinigbe ti pa eeyan mewaa laarin osu meta.
Ìyàwó àti ọkọ ni wọ́n pè wá sí ìdíje onípòjipò yìí,/content/drive/MyDrive/clips/common_voice_yo_36913814.mp3,Iyawo ati oko ni won pe wa si idije onipojipo yii
Àwọn ìjọba Nàíjíríà kò fẹ́ ìyapa ẹ̀yà kankan.,/content/drive/MyDrive/clips/common_voice_yo_36913815.mp3,Awon ijoba Naijiria ko fe iyapa eya kankan.
Amòfin ní pé kò sí ohun tí ó fi jẹ̀bi.,/content/drive/MyDrive/clips/common_voice_yo_36913816.mp3,Amofin ni pe ko si ohun ti o fi jebi.
Iléèwé ni wọ́n ti kọ́kọ́ pàdé ara wọn kí wọ́n tó fẹ́ ara wọn,/content/drive/MyDrive/clips/common_voice_yo_36913830.mp3,Ileewe ni won ti koko pade ara won ki won to fe ara won
Ṣayọ̀ kú níbi tí ó ti lọ ṣéyún pẹ̀lú àfẹ́sọ́nà rẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36913831.mp3,Sayo ku nibi ti o ti lo seyun pelu afesona re.
Kìí ṣe nǹkan ìtìjú pé èmi nìkan ni mò ń gbọ́ bùkátà ilé wa.,/content/drive/MyDrive/clips/common_voice_yo_36913832.mp3,Kii se nnkan itiju pe emi nikan ni mo n gbo bukata ile wa.
Adé sun ilé Àdìsá lálé àná mọ́júmọ́ àárọ̀ yìí.,/content/drive/MyDrive/clips/common_voice_yo_36913833.mp3,Ade sun ile Adisa lale ana mojumo aaro yii.
Èèyàn mẹ́rin ló kú nínú ìjàm̀bá mìíràn tó ṣèlẹ̀.,/content/drive/MyDrive/clips/common_voice_yo_36913834.mp3,Eeyan merin lo ku ninu ijamba miiran to sele.
Yíya nǹkan sára kò dí jíjẹ ọba lọ́wọ́.,/content/drive/MyDrive/clips/common_voice_yo_36927904.mp3,Yiya nnkan sara ko di jije oba lowo.
Ṣé Yọ̀mí Fákúnlé ti rí ìfẹ́ míràn lọ́dọ̀ ọmọbìnrin òyìnbó ni?,/content/drive/MyDrive/clips/common_voice_yo_36927905.mp3,Se Yomi Fakunle ti ri ife miran lodo omobinrin oyinbo ni?
Toyọ̀sí Adésànyà ló sọ òkò ọ̀rọ̀ sí àwọn tó ń pèé níjà,/content/drive/MyDrive/clips/common_voice_yo_36927906.mp3,Toyosi Adesanya lo so oko oro si awon to n pee nija
Àìsàn tó ń ṣe Bàbá Wándé ti gbóná ju bó ṣe yẹ lọ,/content/drive/MyDrive/clips/common_voice_yo_36927907.mp3,Aisan to n se Baba Wande ti gbona ju bo se ye lo
Wọ́n ní ká má fi ẹ̀hónú hàn ju bó ṣe yẹ lọ nílé ìsìn,/content/drive/MyDrive/clips/common_voice_yo_36927917.mp3,Won ni ka ma fi ehonu han ju bo se ye lo nile isin
Ìṣọ̀lá ti ṣàfihàn àwọn ìyàwó rè tọ́ jẹ́ igi lẹ́yìn ọgbà fún-un.,/content/drive/MyDrive/clips/common_voice_yo_36927919.mp3,Isola ti safihan awon iyawo re to je igi leyin ogba fun-un.
Ọlájídé ni ọlọ́wọ́ idán àkọ́kọ́ nílẹ̀ Áfíríkà tó dárajù,/content/drive/MyDrive/clips/common_voice_yo_36927920.mp3,Olajide ni olowo idan akoko nile Afirika to daraju
Bàbá Sàlá àti Adé Afọláyan máa ń ṣe eré papọ̀ láyé àtijọ́,/content/drive/MyDrive/clips/common_voice_yo_36927921.mp3,Baba Sala ati Ade Afolayan maa n se ere papo laye atijo
Mo ti pe Kúnlé fún ìpàdé pàtàkì kan nítorí òsùnwọ̀n ìjọba.,/content/drive/MyDrive/clips/common_voice_yo_36891691.mp3,Mo ti pe Kunle fun ipade pataki kan nitori osunwon ijoba.
Èmi kọ́ ni mo rán àwọn alátẹnujẹ olóṣèlú níṣẹ́ lati lọ ibẹ̀,/content/drive/MyDrive/clips/common_voice_yo_36891692.mp3,Emi ko ni mo ran awon alatenuje oloselu nise lati lo ibe
Ọkan lára àwọn ọmọ ẹgbẹ́ òṣère tíátà ni Bàbá Sùwé jẹ́,/content/drive/MyDrive/clips/common_voice_yo_36891693.mp3,Okan lara awon omo egbe osere tiata ni Baba Suwe je
Lékè síwájú wa lọ sí ibi ìwọ́de Yorùbá.,/content/drive/MyDrive/clips/common_voice_yo_36891694.mp3,Leke siwaju wa lo si ibi iwode Yoruba.
Gòmínà Adérọ̀gbà ti lọ sí ìlú Àbújá fún ìpàdé.,/content/drive/MyDrive/clips/common_voice_yo_36891697.mp3,Gomina Aderogba ti lo si ilu Abuja fun ipade.
